Bowl,Date,Location,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
481,Rose Bowl,1/1/2000,"Pasadena, CA",17,9,Wisconsin (4),Stanford (22),34.1477849,-118.1445155,43.076592,-89.4124875,37.4274745,-122.169719
482,Independence Bowl,12/31/1999,"Shreveport, LA",27,25,Mississippi,Oklahoma,32.5251516,-93.7501789,34.3647324,-89.538443,35.2058936,-97.4457137
483,Insight Bowl,12/31/1999,"Tucson, AZ",62,28,Colorado,Boston College (25),32.2226066,-110.9747108,40.00758099999999,-105.2659417,42.3355488,-71.16849450000001
484,Liberty Bowl,12/31/1999,"Memphis, TN",23,17,Southern Mississippi (16),Colorado State,35.1495343,-90.0489801,31.3298941,-89.3340439,40.573436,-105.0865473
485,Sun Bowl,12/31/1999,"El Paso, TX",24,20,Oregon,Minnesota (12),31.7618778,-106.4850217,44.0448302,-123.0726055,44.97399,-93.2277285
486,Humanitarian Bowl,12/30/1999,"Boise, ID",34,31,Boise State,Louisville,43.6150186,-116.2023137,43.6028311,-116.201767,38.2122761,-85.75850229999999
487,Micron PC Bowl,12/30/1999,"Miami, FL",63,21,Illinois,Virginia,25.7616798,-80.1917902,40.1019523,-88.2271615,38.0335529,-78.5079772
488,Peach Bowl,12/30/1999,"Atlanta, GA",17,7,Mississippi State (15),Clemson,33.7489954,-84.3879824,33.4551742,-88.79437659999999,34.6738437,-82.8368654
489,Holiday Bowl,12/29/1999,"San Diego, CA",24,20,Kansas State (7),Washington,32.715738,-117.1610838,38.9543439,-95.2557961,47.65533509999999,-122.3035199
490,Music City Bowl,12/29/1999,"Nashville, TN",20,13,Syracuse,Kentucky,36.1626638,-86.7816016,43.0391534,-76.1351158,38.0306511,-84.5039697
491,Alamo Bowl,12/28/1999,"San Antonio, TX",24,0,Penn State (13),Texas A&M (18),29.4241219,-98.49362819999999,40.7982133,-77.8599084,30.6187558,-96.33647719999999
492,Motor City Bowl,12/27/1999,"Pontiac, MI",21,3,Marshall (11),Brigham Young,42.6389216,-83.29104679999999,38.4235252,-82.42641449999999,40.2518435,-111.6493156
493,Aloha Classic,12/25/1999,"Honolulu, HI",23,3,Wake Forest,Arizona State,21.3069444,-157.8583333,36.1354033,-80.27922749999999,32.2318851,-110.9501094
494,Oahu Classic,12/25/1999,"Honolulu, HI",23,17,Hawaii,Oregon State,21.3069444,-157.8583333,21.296939,-157.8171118,44.5637806,-123.2794443
495,Mobile Alabama Bowl,12/22/1999,"Mobile, AL",28,14,Texas Christian,East Carolina (20),30.6953657,-88.0398912,32.7095936,-97.3635602,35.6055108,-77.3645653
496,Las Vegas Bowl,12/18/1999,"Las Vegas, NV",17,16,Utah,Fresno State,36.1699412,-115.1398296,40.7649368,-111.8421021,36.81336410000001,-119.7460884
497,Orange Bowl,1/3/2001,"Miami, FL",13,2,Oklahoma (1),Florida State (3),25.7616798,-80.1917902,35.2058936,-97.4457137,30.43495,-84.284994
498,Sugar Bowl,1/2/2001,"New Orleans, LA",37,20,Miami (FL) (2),Florida (7),29.95106579999999,-90.0715323,25.7178924,-80.2746368,29.6436325,-82.3549302
499,Citrus Bowl,1/1/2001,"Orlando, FL",31,28,Michigan (17),Auburn (20),28.5383355,-81.3792365,42.2780436,-83.7382241,32.5933574,-85.4951663
500,Cotton Bowl,1/1/2001,"Dallas, TX",35,21,Kansas State (11),Tennessee (21),32.7766642,-96.79698789999999,38.9543439,-95.2557961,35.9544013,-83.92945639999999
501,Fiesta Bowl,1/1/2001,"Tempe, AZ",41,9,Oregon State (5),Notre Dame (10),33.4255104,-111.9400054,44.5637806,-123.2794443,41.7055716,-86.2353388
502,Gator Bowl,1/1/2001,"Jacksonville, FL",41,20,Virginia Tech (6),Clemson (16),30.3321838,-81.65565099999999,37.22838429999999,-80.42341669999999,34.6738437,-82.8368654
503,Outback Bowl,1/1/2001,"Tampa, FL",24,7,South Carolina,Ohio State (19),27.950575,-82.4571776,33.9937575,-81.0299186,40.0068363,-83.0306222
504,Rose Bowl,1/1/2001,"Pasadena, CA",34,24,Washington (4),Purdue (14),34.1477849,-118.1445155,47.65533509999999,-122.3035199,40.4237054,-86.92119459999999
505,Independence Bowl,12/31/2000,"Shreveport, LA",43,41,Mississippi State,Texas A&M,32.5251516,-93.7501789,33.4551742,-88.79437659999999,30.6187558,-96.33647719999999
506,Silicon Valley Bowl,12/31/2000,"San Jose, CA",37,34,Air Force,Fresno State,37.3382082,-121.8863286,32.3771126,-86.3386457,36.81336410000001,-119.7460884
507,Alamo Bowl,12/30/2000,"San Antonio, TX",66,17,Nebraska (9),Northwestern (18),29.4241219,-98.49362819999999,40.8201966,-96.70047629999999,45.031563,-93.168573
508,Holiday Bowl,12/29/2000,"San Diego, CA",35,30,Oregon (8),Texas (12),32.715738,-117.1610838,44.0448302,-123.0726055,30.2849185,-97.7340567
509,Liberty Bowl,12/29/2000,"Memphis, TN",22,17,Colorado State (23),Louisville (22),35.1495343,-90.0489801,40.573436,-105.0865473,38.2122761,-85.75850229999999
510,Peach Bowl,12/29/2000,"Atlanta, GA",28,14,Louisiana State,Georgia Tech (15),33.7489954,-84.3879824,30.4132579,-91.1800023,33.7756178,-84.39628499999999
511,Sun Bowl,12/29/2000,"El Paso, TX",21,20,Wisconsin,UCLA,31.7618778,-106.4850217,43.076592,-89.4124875,34.068921,-118.4451811
512,Humanitarian Bowl,12/28/2000,"Boise, ID",38,23,Boise State,Texas-El Paso,43.6150186,-116.2023137,43.6028311,-116.201767,31.7709368,-106.5046405
513,Insight Bowl,12/28/2000,"Phoenix, AZ",37,29,Iowa State,Pittsburgh,33.4483771,-112.0740373,42.0266187,-93.6464654,40.4443533,-79.960835
514,Micron PC Bowl,12/28/2000,"Miami, FL",38,30,North Carolina State,Minnesota,25.7616798,-80.1917902,35.7846633,-78.6820946,44.97399,-93.2277285
515,Music City Bowl,12/28/2000,"Nashville, TN",49,38,West Virginia,Mississippi,36.1626638,-86.7816016,39.6480359,-79.9697147,34.3647324,-89.538443
516,Gallery Furniture Bowl,12/27/2000,"Houston, TX",40,27,East Carolina,Texas Tech,29.7604267,-95.3698028,35.6055108,-77.3645653,33.5842591,-101.8782822
517,Motor City Bowl,12/27/2000,"Detroit, MI",25,14,Marshall,Cincinnati,42.331427,-83.0457538,38.4235252,-82.42641449999999,39.1329219,-84.51495039999999
518,Aloha Classic,12/25/2000,"Honolulu, HI",31,17,Boston College,Arizona State,21.3069444,-157.8583333,42.3355488,-71.16849450000001,32.2318851,-110.9501094
519,Oahu Classic,12/24/2000,"Honolulu, HI",37,14,Georgia (24),Virginia,21.3069444,-157.8583333,33.9480053,-83.3773221,38.0335529,-78.5079772
520,Las Vegas Bowl,12/21/2000,"Las Vegas, NV",31,14,Nevada-Las Vegas,Arkansas,36.1699412,-115.1398296,36.1085197,-115.1431709,36.0686895,-94.1748471
521,Mobile Alabama Bowl,12/20/2000,"Mobile, AL",28,21,Southern Mississippi,Texas Christian (13),30.6953657,-88.0398912,31.3298941,-89.3340439,32.7095936,-97.3635602
522,Rose Bowl,1/3/2002,"Pasadena, CA",37,14,Miami (FL) (1),Nebraska (4),34.1477849,-118.1445155,25.7178924,-80.2746368,40.8201966,-96.70047629999999
523,Orange Bowl,1/2/2002,"Miami, FL",56,23,Florida (5),Maryland (6),25.7616798,-80.1917902,29.6436325,-82.3549302,38.9869183,-76.9425543
524,Citrus Bowl,1/1/2002,"Orlando, FL",45,17,Tennessee (8),Michigan (17),28.5383355,-81.3792365,35.9544013,-83.92945639999999,42.2780436,-83.7382241
525,Cotton Bowl,1/1/2002,"Dallas, TX",10,3,Oklahoma (10),Arkansas,32.7766642,-96.79698789999999,35.2058936,-97.4457137,36.0686895,-94.1748471
526,Fiesta Bowl,1/1/2002,"Tempe, AZ",38,16,Oregon (2),Colorado (3),33.4255104,-111.9400054,44.0448302,-123.0726055,40.00758099999999,-105.2659417
527,Gator Bowl,1/1/2002,"Jacksonville, FL",30,17,Florida State (24),Virginia Tech (15),30.3321838,-81.65565099999999,30.43495,-84.284994,37.22838429999999,-80.42341669999999
528,Outback Bowl,1/1/2002,"Tampa, FL",31,28,South Carolina (14),Ohio State (22),27.950575,-82.4571776,33.9937575,-81.0299186,40.0068363,-83.0306222
529,Sugar Bowl,1/1/2002,"New Orleans, LA",47,34,Louisiana State (12),Illinois (7),29.95106579999999,-90.0715323,30.4132579,-91.1800023,40.1019523,-88.2271615
530,Humanitarian Bowl,12/31/2001,"Boise, ID",49,24,Clemson,Louisiana Tech,43.6150186,-116.2023137,34.6738437,-82.8368654,32.5282644,-92.6499298
531,Liberty Bowl,12/31/2001,"Memphis, TN",28,10,Louisville (23),Brigham Young (19),35.1495343,-90.0489801,38.2122761,-85.75850229999999,40.2518435,-111.6493156
532,Peach Bowl,12/31/2001,"Atlanta, GA",16,10,North Carolina,Auburn,33.7489954,-84.3879824,35.9049122,-79.0469134,32.5933574,-85.4951663
533,Silicon Valley Bowl,12/31/2001,"San Jose, CA",44,35,Michigan State,Fresno State (20),37.3382082,-121.8863286,42.701848,-84.4821719,36.81336410000001,-119.7460884
534,Sun Bowl,12/31/2001,"El Paso, TX",33,27,Washington State (13),Purdue,31.7618778,-106.4850217,46.7319225,-117.1542121,40.4237054,-86.92119459999999
535,Alamo Bowl,12/29/2001,"San Antonio, TX",19,16,Iowa,Texas Tech,29.4241219,-98.49362819999999,41.6626963,-91.5548998,33.5842591,-101.8782822
536,Insight Bowl,12/29/2001,"Phoenix, AZ",26,3,Syracuse (18),Kansas State,33.4483771,-112.0740373,43.0391534,-76.1351158,38.9543439,-95.2557961
537,Motor City Bowl,12/29/2001,"Pontiac, MI",23,16,Toledo (25),Cincinnati,42.6389216,-83.29104679999999,41.6578804,-83.6142374,39.1329219,-84.51495039999999
538,Gallery Furniture Bowl,12/28/2001,"Houston, TX",28,9,Texas A&M,Texas Christian,29.7604267,-95.3698028,30.6187558,-96.33647719999999,32.7095936,-97.3635602
539,Holiday Bowl,12/28/2001,"San Diego, CA",47,43,Texas (9),Washington (21),32.715738,-117.1610838,30.2849185,-97.7340567,47.65533509999999,-122.3035199
540,Music City Bowl,12/28/2001,"Nashville, TN",20,16,Boston College,Georgia (16),36.1626638,-86.7816016,42.3355488,-71.16849450000001,33.9480053,-83.3773221
541,Independence Bowl,12/27/2001,"Shreveport, LA",14,13,Alabama,Iowa State,32.5251516,-93.7501789,33.2140233,-87.5391418,42.0266187,-93.6464654
542,Seattle Bowl,12/27/2001,"Seattle, WA",24,14,Georgia Tech,Stanford (11),47.6062095,-122.3320708,33.7756178,-84.39628499999999,37.4274745,-122.169719
543,Las Vegas Bowl,12/25/2001,"Las Vegas, NV",10,6,Utah,Southern California,36.1699412,-115.1398296,40.7649368,-111.8421021,34.0223519,-118.285117
544,Tangerine Bowl II,12/20/2001,"Orlando, FL",34,19,Pittsburgh,North Carolina State,28.5383355,-81.3792365,40.4443533,-79.960835,35.7846633,-78.6820946
545,GMAC Bowl,12/19/2001,"Mobile, AL",64,61,Marshall,East Carolina,30.6953657,-88.0398912,38.4235252,-82.42641449999999,35.6055108,-77.3645653
546,New Orleans Bowl,12/18/2001,"New Orleans, LA",45,20,Colorado State,North Texas,29.95106579999999,-90.0715323,40.573436,-105.0865473,33.207488,-97.1525862
547,Fiesta Bowl,1/3/2003,"Tempe, AZ",31,24,Ohio State (2),Miami (FL) (1),33.4255104,-111.9400054,40.0068363,-83.0306222,25.7178924,-80.2746368
548,Orange Bowl,1/2/2003,"Miami, FL",38,17,Southern California (5),Iowa (3),25.7616798,-80.1917902,34.0223519,-118.285117,41.6626963,-91.5548998
549,Capital One Bowl,1/1/2003,"Orlando, FL",13,9,Auburn (19),Penn State (10),28.5383355,-81.3792365,32.5933574,-85.4951663,40.7982133,-77.8599084
550,Cotton Bowl,1/1/2003,"Dallas, TX",35,20,Texas (9),Louisiana State,32.7766642,-96.79698789999999,30.2849185,-97.7340567,30.4132579,-91.1800023
551,Gator Bowl,1/1/2003,"Jacksonville, FL",28,6,North Carolina State (17),Notre Dame (11),30.3321838,-81.65565099999999,35.7846633,-78.6820946,41.7055716,-86.2353388
552,Outback Bowl,1/1/2003,"Tampa, FL",38,30,Michigan (12),Florida (22),27.950575,-82.4571776,42.2780436,-83.7382241,29.6436325,-82.3549302
553,Rose Bowl,1/1/2003,"Pasadena, CA",34,14,Oklahoma (8),Washington State (7),34.1477849,-118.1445155,35.2058936,-97.4457137,46.7319225,-117.1542121
554,Sugar Bowl,1/1/2003,"New Orleans, LA",26,13,Georgia (4),Florida State (16),29.95106579999999,-90.0715323,33.9480053,-83.3773221,30.43495,-84.284994
555,Humanitarian Bowl,12/31/2002,"Boise, ID",34,16,Boise State (18),Iowa State,43.6150186,-116.2023137,43.6028311,-116.201767,42.0266187,-93.6464654
556,Liberty Bowl,12/31/2002,"Memphis, TN",17,3,Texas Christian,Colorado State (23),35.1495343,-90.0489801,32.7095936,-97.3635602,40.573436,-105.0865473
557,Peach Bowl,12/31/2002,"Atlanta, GA",30,3,Maryland (20),Tennessee,33.7489954,-84.3879824,38.9869183,-76.9425543,35.9544013,-83.92945639999999
558,San Francisco Bowl,12/31/2002,"San Francisco, CA",20,13,Virginia Tech (21),Air Force,37.7749295,-122.4194155,37.22838429999999,-80.42341669999999,32.3771126,-86.3386457
559,Silicon Valley Bowl,12/31/2002,"San Jose, CA",30,21,Fresno State,Georgia Tech,37.3382082,-121.8863286,36.81336410000001,-119.7460884,33.7756178,-84.39628499999999
560,Sun Bowl,12/31/2002,"El Paso, TX",34,24,Purdue,Washington,31.7618778,-106.4850217,40.4237054,-86.92119459999999,47.65533509999999,-122.3035199
561,Music City Bowl,12/30/2002,"Nashville, TN",29,14,Minnesota,Arkansas (25),36.1626638,-86.7816016,44.97399,-93.2277285,36.0686895,-94.1748471
562,Seattle Bowl,12/30/2002,"Seattle, WA",38,17,Wake Forest,Oregon,47.6062095,-122.3320708,36.1354033,-80.27922749999999,44.0448302,-123.0726055
563,Alamo Bowl,12/28/2002,"San Antonio, TX",31,28,Wisconsin,Colorado (14),29.4241219,-98.49362819999999,43.076592,-89.4124875,40.00758099999999,-105.2659417
564,Continental Tire Bowl,12/28/2002,"Charlotte, NC",48,22,Virginia,West Virginia (15),35.2270869,-80.8431267,38.0335529,-78.5079772,39.6480359,-79.9697147
565,Holiday Bowl,12/27/2002,"San Diego, CA",34,27,Kansas State (6),Arizona State,32.715738,-117.1610838,38.9543439,-95.2557961,32.2318851,-110.9501094
566,Houston Bowl,12/27/2002,"Houston, TX",33,23,Oklahoma State,Southern Mississippi,29.7604267,-95.3698028,36.1270236,-97.07372219999999,31.3298941,-89.3340439
567,Independence Bowl,12/27/2002,"Shreveport, LA",27,23,Mississippi,Nebraska,32.5251516,-93.7501789,34.3647324,-89.538443,40.8201966,-96.70047629999999
568,Insight Bowl,12/26/2002,"Phoenix, AZ",38,13,Pittsburgh (24),Oregon State,33.4483771,-112.0740373,40.4443533,-79.960835,44.5637806,-123.2794443
569,Motor City Bowl,12/26/2002,"Detroit, MI",51,25,Boston College,Toledo,42.331427,-83.0457538,42.3355488,-71.16849450000001,41.6578804,-83.6142374
570,Hawaii Bowl,12/25/2002,"Honolulu, HI",36,28,Tulane,Hawaii,21.3069444,-157.8583333,29.9407282,-90.12031669999999,21.296939,-157.8171118
571,Las Vegas Bowl,12/25/2002,"Las Vegas, NV",27,13,UCLA,New Mexico,36.1699412,-115.1398296,34.068921,-118.4451811,35.0843187,-106.6197812
572,Tangerine Bowl II,12/23/2002,"Orlando, FL",55,15,Texas Tech,Clemson,28.5383355,-81.3792365,33.5842591,-101.8782822,34.6738437,-82.8368654
573,GMAC Bowl,12/18/2002,"Mobile, AL",38,15,Marshall,Louisville,30.6953657,-88.0398912,38.4235252,-82.42641449999999,38.2122761,-85.75850229999999
574,New Orleans Bowl,12/17/2002,"New Orleans, LA",24,19,North Texas,Cincinnati,29.95106579999999,-90.0715323,33.207488,-97.1525862,39.1329219,-84.51495039999999
575,Sugar Bowl,1/4/2004,"New Orleans, LA",21,14,Louisiana State (2),Oklahoma (3),29.95106579999999,-90.0715323,30.4132579,-91.1800023,35.2058936,-97.4457137
576,Humanitarian Bowl,1/3/2004,"Boise, ID",52,10,Georgia Tech,Tulsa,43.6150186,-116.2023137,33.7756178,-84.39628499999999,36.1520526,-95.94607529999999
577,Cotton Bowl,1/2/2004,"Dallas, TX",31,28,Mississippi (16),Oklahoma State (21),32.7766642,-96.79698789999999,34.3647324,-89.538443,36.1270236,-97.07372219999999
578,Fiesta Bowl,1/2/2004,"Tempe, AZ",35,28,Ohio State (7),Kansas State (8),33.4255104,-111.9400054,40.0068363,-83.0306222,38.9543439,-95.2557961
579,Peach Bowl,1/2/2004,"Atlanta, GA",27,14,Clemson,Tennessee (6),33.7489954,-84.3879824,34.6738437,-82.8368654,35.9544013,-83.92945639999999
580,Capital One Bowl,1/1/2004,"Orlando, FL",34,27,Georgia (11),Purdue (12),28.5383355,-81.3792365,33.9480053,-83.3773221,40.4237054,-86.92119459999999
581,Gator Bowl,1/1/2004,"Jacksonville, FL",41,7,Maryland (23),West Virginia (20),30.3321838,-81.65565099999999,38.9869183,-76.9425543,39.6480359,-79.9697147
582,Orange Bowl,1/1/2004,"Miami, FL",16,14,Miami (FL) (10),Florida State (9),25.7616798,-80.1917902,25.7178924,-80.2746368,30.43495,-84.284994
583,Outback Bowl,1/1/2004,"Tampa, FL",37,17,Iowa (13),Florida (17),27.950575,-82.4571776,41.6626963,-91.5548998,29.6436325,-82.3549302
584,Rose Bowl,1/1/2004,"Pasadena, CA",28,14,Southern California (1),Michigan (4),34.1477849,-118.1445155,34.0223519,-118.285117,42.2780436,-83.7382241
585,Independence Bowl,12/31/2003,"Shreveport, LA",27,14,Arkansas,Missouri,32.5251516,-93.7501789,36.0686895,-94.1748471,38.9403808,-92.32773750000001
586,Liberty Bowl,12/31/2003,"Memphis, TN",17,0,Utah (25),Southern Mississippi,35.1495343,-90.0489801,40.7649368,-111.8421021,31.3298941,-89.3340439
587,Music City Bowl,12/31/2003,"Nashville, TN",28,14,Auburn,Wisconsin,36.1626638,-86.7816016,32.5933574,-85.4951663,43.076592,-89.4124875
588,San Francisco Bowl,12/31/2003,"San Francisco, CA",35,21,Boston College,Colorado State,37.7749295,-122.4194155,42.3355488,-71.16849450000001,40.573436,-105.0865473
589,Sun Bowl,12/31/2003,"El Paso, TX",31,30,Minnesota (24),Oregon,31.7618778,-106.4850217,44.97399,-93.2277285,44.0448302,-123.0726055
590,Holiday Bowl,12/30/2003,"San Diego, CA",28,20,Washington State (15),Texas (5),32.715738,-117.1610838,46.7319225,-117.1542121,30.2849185,-97.7340567
591,Houston Bowl,12/30/2003,"Houston, TX",38,14,Texas Tech,Navy,29.7604267,-95.3698028,33.5842591,-101.8782822,38.98206580000001,-76.4839405
592,Silicon Valley Bowl,12/30/2003,"San Jose, CA",17,9,Fresno State,UCLA,37.3382082,-121.8863286,36.81336410000001,-119.7460884,34.068921,-118.4451811
593,Alamo Bowl,12/29/2003,"San Antonio, TX",17,3,Nebraska (22),Michigan State,29.4241219,-98.49362819999999,40.8201966,-96.70047629999999,42.701848,-84.4821719
594,Continental Tire Bowl,12/27/2003,"Charlotte, NC",23,16,Virginia,Pittsburgh,35.2270869,-80.8431267,38.0335529,-78.5079772,40.4443533,-79.960835
595,Insight Bowl,12/26/2003,"Phoenix, AZ",52,49,California,Virginia Tech,33.4483771,-112.0740373,37.8718992,-122.2585399,37.22838429999999,-80.42341669999999
596,Motor City Bowl,12/26/2003,"Detroit, MI",28,24,Bowling Green State,Northwestern,42.331427,-83.0457538,41.3797788,-83.6300826,45.031563,-93.168573
597,Hawaii Bowl,12/25/2003,"Honolulu, HI",54,48,Hawaii,Houston,21.3069444,-157.8583333,21.296939,-157.8171118,29.7199489,-95.3422334
598,Las Vegas Bowl,12/24/2003,"Las Vegas, NV",55,14,Oregon State,New Mexico,36.1699412,-115.1398296,44.5637806,-123.2794443,35.0843187,-106.6197812
599,Fort Worth Bowl,12/23/2003,"Fort Worth, TX",34,31,Boise State (18),Texas Christian (19),32.7554883,-97.3307658,43.6028311,-116.201767,32.7095936,-97.3635602
600,Tangerine Bowl II,12/22/2003,"Orlando, FL",56,26,North Carolina State,Kansas,28.5383355,-81.3792365,35.7846633,-78.6820946,38.9543439,-95.2557961
601,GMAC Bowl,12/18/2003,"Mobile, AL",49,28,Miami (OH) (14),Louisville,30.6953657,-88.0398912,25.7178924,-80.2746368,38.2122761,-85.75850229999999
602,New Orleans Bowl,12/16/2003,"New Orleans, LA",27,17,Memphis,North Texas,29.95106579999999,-90.0715323,35.1187498,-89.9374928,33.207488,-97.1525862
603,Orange Bowl,1/4/2005,"Miami, FL",55,19,Southern California (1),Oklahoma (2),25.7616798,-80.1917902,34.0223519,-118.285117,35.2058936,-97.4457137
604,Sugar Bowl,1/3/2005,"New Orleans, LA",16,13,Auburn (3),Virginia Tech (9),29.95106579999999,-90.0715323,32.5933574,-85.4951663,37.22838429999999,-80.42341669999999
605,Capital One Bowl,1/1/2005,"Orlando, FL",30,25,Iowa (11),Louisiana State (12),28.5383355,-81.3792365,41.6626963,-91.5548998,30.4132579,-91.1800023
606,Cotton Bowl,1/1/2005,"Dallas, TX",38,7,Tennessee (15),Texas A&M (22),32.7766642,-96.79698789999999,35.9544013,-83.92945639999999,30.6187558,-96.33647719999999
607,Fiesta Bowl,1/1/2005,"Tempe, AZ",35,7,Utah (5),Pittsburgh (19),33.4255104,-111.9400054,40.7649368,-111.8421021,40.4443533,-79.960835
608,Gator Bowl,1/1/2005,"Jacksonville, FL",30,18,Florida State (17),West Virginia,30.3321838,-81.65565099999999,30.43495,-84.284994,39.6480359,-79.9697147
609,Outback Bowl,1/1/2005,"Tampa, FL",24,21,Georgia (8),Wisconsin (16),27.950575,-82.4571776,33.9480053,-83.3773221,43.076592,-89.4124875
610,Rose Bowl,1/1/2005,"Pasadena, CA",38,37,Texas (6),Michigan (13),34.1477849,-118.1445155,30.2849185,-97.7340567,42.2780436,-83.7382241
611,Liberty Bowl,12/31/2004,"Memphis, TN",44,40,Louisville (7),Boise State (10),35.1495343,-90.0489801,38.2122761,-85.75850229999999,43.6028311,-116.201767
612,Music City Bowl,12/31/2004,"Nashville, TN",20,16,Minnesota,Alabama,36.1626638,-86.7816016,44.97399,-93.2277285,33.2140233,-87.5391418
613,Peach Bowl,12/31/2004,"Atlanta, GA",27,10,Miami (FL) (14),Florida (20),33.7489954,-84.3879824,25.7178924,-80.2746368,29.6436325,-82.3549302
614,Sun Bowl,12/31/2004,"El Paso, TX",27,23,Arizona State (21),Purdue,31.7618778,-106.4850217,32.2318851,-110.9501094,40.4237054,-86.92119459999999
615,Continental Tire Bowl,12/30/2004,"Charlotte, NC",37,24,Boston College (25),North Carolina,35.2270869,-80.8431267,42.3355488,-71.16849450000001,35.9049122,-79.0469134
616,Emerald Bowl,12/30/2004,"San Francisco, CA",34,19,Navy,New Mexico,37.7749295,-122.4194155,38.98206580000001,-76.4839405,35.0843187,-106.6197812
617,Holiday Bowl,12/30/2004,"San Diego, CA",45,31,Texas Tech (23),California (4),32.715738,-117.1610838,33.5842591,-101.8782822,37.8718992,-122.2585399
618,Silicon Valley Bowl,12/30/2004,"San Jose, CA",34,21,Northern Illinois,Troy,37.3382082,-121.8863286,41.934233,-88.774069,31.8010955,-85.9572999
619,Alamo Bowl,12/29/2004,"San Antonio, TX",33,7,Ohio State (24),Oklahoma State,29.4241219,-98.49362819999999,40.0068363,-83.0306222,36.1270236,-97.07372219999999
620,Houston Bowl,12/29/2004,"Houston, TX",33,28,Colorado,Texas-El Paso,29.7604267,-95.3698028,40.00758099999999,-105.2659417,31.7709368,-106.5046405
621,Independence Bowl,12/28/2004,"Shreveport, LA",17,13,Iowa State,Miami (OH),32.5251516,-93.7501789,42.0266187,-93.6464654,25.7178924,-80.2746368
622,Insight Bowl,12/28/2004,"Phoenix, AZ",38,21,Oregon State,Notre Dame,33.4483771,-112.0740373,44.5637806,-123.2794443,41.7055716,-86.2353388
623,Motor City Bowl,12/27/2004,"Detroit, MI",39,10,Connecticut,Toledo,42.331427,-83.0457538,41.8077414,-72.2539805,41.6578804,-83.6142374
624,MPC Computers Bowl,12/27/2004,"Boise, ID",37,34,Fresno State,Virginia (18),43.6150186,-116.2023137,36.81336410000001,-119.7460884,38.0335529,-78.5079772
625,Hawaii Bowl,12/24/2004,"Honolulu, HI",59,40,Hawaii,Alabama-Birmingham,21.3069444,-157.8583333,21.296939,-157.8171118,33.5019893,-86.8064433
626,Fort Worth Bowl,12/23/2004,"Fort Worth, TX",32,14,Cincinnati,Marshall,32.7554883,-97.3307658,39.1329219,-84.51495039999999,38.4235252,-82.42641449999999
627,Las Vegas Bowl,12/23/2004,"Las Vegas, NV",24,21,Wyoming,UCLA,36.1699412,-115.1398296,41.3148754,-105.5665744,34.068921,-118.4451811
628,GMAC Bowl,12/22/2004,"Mobile, AL",52,35,Bowling Green State,Memphis,30.6953657,-88.0398912,41.3797788,-83.6300826,35.1187498,-89.9374928
629,Champs Sports Bowl,12/21/2004,"Orlando, FL",51,14,Georgia Tech,Syracuse,28.5383355,-81.3792365,33.7756178,-84.39628499999999,43.0391534,-76.1351158
630,New Orleans Bowl,12/14/2004,"New Orleans, LA",31,10,Southern Mississippi,North Texas,29.95106579999999,-90.0715323,31.3298941,-89.3340439,33.207488,-97.1525862
631,Rose Bowl,1/4/2006,"Pasadena, CA",41,38,Texas,Southern California,34.1477849,-118.1445155,30.2849185,-97.7340567,34.0223519,-118.285117
632,Orange Bowl,1/3/2006,"Miami, FL",26,23,Penn State,Florida State,25.7616798,-80.1917902,40.7982133,-77.8599084,30.43495,-84.284994
633,Capital One Bowl,1/2/2006,"Orlando, FL",24,10,Wisconsin,Auburn,28.5383355,-81.3792365,43.076592,-89.4124875,32.5933574,-85.4951663
634,Cotton Bowl,1/2/2006,"Dallas, TX",13,10,Alabama,Texas Tech,32.7766642,-96.79698789999999,33.2140233,-87.5391418,33.5842591,-101.8782822
635,Fiesta Bowl,1/2/2006,"Tempe, AZ",34,20,Ohio State,Notre Dame,33.4255104,-111.9400054,40.0068363,-83.0306222,41.7055716,-86.2353388
636,Gator Bowl,1/2/2006,"Jacksonville, FL",35,24,Virginia Tech,Louisville,30.3321838,-81.65565099999999,37.22838429999999,-80.42341669999999,38.2122761,-85.75850229999999
637,Outback Bowl,1/2/2006,"Tampa, FL",31,24,Florida,Iowa,27.950575,-82.4571776,29.6436325,-82.3549302,41.6626963,-91.5548998
638,Sugar Bowl,1/2/2006,"Atlanta, GA",38,35,West Virginia,Georgia,33.7489954,-84.3879824,39.6480359,-79.9697147,33.9480053,-83.3773221
639,Houston Bowl,12/31/2005,"Houston, TX",27,24,Texas Christian,Iowa State,29.7604267,-95.3698028,32.7095936,-97.3635602,42.0266187,-93.6464654
640,Liberty Bowl,12/31/2005,"Memphis, TN",31,24,Tulsa,Fresno State,35.1495343,-90.0489801,36.1520526,-95.94607529999999,36.81336410000001,-119.7460884
641,Meineke Car Care Bowl,12/31/2005,"Charlotte, NC",14,0,North Carolina State,South Florida,35.2270869,-80.8431267,35.7846633,-78.6820946,28.0587031,-82.41385389999999
642,Independence Bowl,12/30/2005,"Shreveport, LA",38,31,Missouri,South Carolina,32.5251516,-93.7501789,38.9403808,-92.32773750000001,33.9937575,-81.0299186
643,Music City Bowl,12/30/2005,"Nashville, TN",34,31,Virginia,Minnesota,36.1626638,-86.7816016,38.0335529,-78.5079772,44.97399,-93.2277285
644,Peach Bowl,12/30/2005,"Atlanta, GA",40,3,Louisiana State,Miami (FL),33.7489954,-84.3879824,30.4132579,-91.1800023,25.7178924,-80.2746368
